Empresa,Ticker,Setor,Preço
Suínos RS,SUI.RS,Agronegócio,45.50
Auto MG,AUTO.MG,Automotivo,78.25
Têxtil SP,TEX.SP,Têxtil,32.10
Energia BA,ENE.BA,Energia,125.75
Alimentos CE,ALI.CE,Alimentos,58.90
Construção RJ,CONS.RJ,Construção,91.40
Logística SC,LOG.SC,Logística,67.30
Varejo PR,VAR.PR,Varejo,54.20
Mineração PA,MIN.PA,Mineração,142.60
Saúde MS,SAU.MS,Saúde,89.15
BioSol AM,BIO.AM,Biotecnologia,63.50
PetroAC AC,PTR.AC,Energia,110.20
Açúcar AL,ACU.AL,Agronegócio,39.80
Frutos AP,FRU.AP,Alimentos,47.65
Celulose TO,CEL.TO,Madeira,73.90
Tecno PI,TEC.PI,Tecnologia,102.30
Varejo MA,VAR.MA,Varejo,53.40
Expresso PB,EXP.PB,Transporte,69.20
Energia SE,ENE.SE,Energia,94.75
Turismo RN,TUR.RN,Turismo,48.60
Petro PE,PET.PE,Energia,98.10
Metal ES,MET.ES,Mineração,86.40
Agro DF,AGRO.DF,Agronegócio,55.10
Siderurgia GO,SID.GO,Construção,80.20
Grãos MT,GRA.MT,Agronegócio,65.00
Florestal RO,FLO.RO,Madeira,71.55
Niquel RR,NIQ.RR,Mineração,132.80
Farma SP,FAR.SP,Saúde,77.95
Imobiliária RJ,IMO.RJ,Construção,96.10
Tecnologia MG,TEC.MG,Tecnologia,108.55
Café ES,CAF.ES,Alimentos,42.30
Comércio SP,COM.SP,Varejo,59.25
Aviação RJ,AVI.RJ,Transporte,125.00
Fintech MG,FIN.MG,Financeiro,115.20
Papel SP,PAP.SP,Madeira,58.75
Educação RJ,EDU.RJ,Serviços,52.60
Mineradora MG,MIN.MG,Mineração,101.90
Agroindústria ES,AGI.ES,Alimentos,67.40
Logística SP,LOG.SP,Logística,72.80
Saúde RJ,SAU.RJ,Saúde,88.50
Seguros MG,SEG.MG,Financeiro,97.30
E-commerce SP,ECO.SP,Varejo,64.10
Energia RJ,ENE.RJ,Energia,118.25
Biotech MG,BTC.MG,Biotecnologia,93.35
Indústria ES,IND.ES,Industrial,84.70
Hotel AP,HOT.AP,Turismo,50.20
Agro PB,AGB.PB,Agronegócio,56.90
Indústria AC,IND.AC,Industrial,78.45
Cartão DF,CAR.DF,Financeiro,90.60
Transporte RR,TRP.RR,Transporte,69.75
